(0.0003, 400, 0.3, 1, 15): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.1, 200, 0.7, 5, 15): {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
(0.0003, 100, 0.1, 1, 25): {'acc': 0.99024390243902438, 'rec': 0.98888888888888893, 'prec': 0.98888888888888893, 'f1': 0.98888888888888893}
(0.003, 400, 0.1, 9, 20): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(3e-05, 800, 0.5, 1, 20): {'acc': 0.80487804878048785, 'rec': 0.76666666666666672, 'prec': 0.78409090909090906, 'f1': 0.7752808988764045}
(0.001, 200, 0.1, 7, 20): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0001, 50, 0.9, 9, 10): {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
(0.0003, 200, 0.5, 3, 10): {'acc': 0.86341463414634145, 'rec': 0.88888888888888884, 'prec': 0.81632653061224492, 'f1': 0.85106382978723405}
(0.0001, 50, 0.5, 3, 10): {'acc': 0.56097560975609762, 'rec': 0.088888888888888892, 'prec': 0.5, 'f1': 0.15094339622641509}
(0.0001, 100, 0.5, 9, 15): {'acc': 0.60487804878048779, 'rec': 0.14444444444444443, 'prec': 0.76470588235294112, 'f1': 0.24299065420560748}
(0.03, 400, 0.1, 1, 10): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 200, 0.7, 1, 10): {'acc': 0.9463414634146341, 'rec': 0.90000000000000002, 'prec': 0.97590361445783136, 'f1': 0.93641618497109824}
(0.0001, 200, 0.1, 7, 15): {'acc': 0.79024390243902443, 'rec': 0.52222222222222225, 'prec': 1.0, 'f1': 0.68613138686131392}
(0.1, 200, 0.9, 9, 15): {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
(0.0003, 100, 0.5, 9, 25): {'acc': 0.87804878048780488, 'rec': 0.8666666666666667, 'prec': 0.8571428571428571, 'f1': 0.86187845303867405}
(0.03, 100, 0.3, 9, 15): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 50, 0.7, 3, 20): {'acc': 0.84878048780487803, 'rec': 0.81111111111111112, 'prec': 0.83908045977011492, 'f1': 0.82485875706214684}
(0.03, 800, 0.1, 1, 20): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 200, 0.9, 9, 20): {'acc': 0.94146341463414629, 'rec': 0.9555555555555556, 'prec': 0.91489361702127658, 'f1': 0.93478260869565222}
(3e-05, 50, 0.7, 7, 10): {'acc': 0.60487804878048779, 'rec': 0.18888888888888888, 'prec': 0.68000000000000005, 'f1': 0.29565217391304344}
(0.1, 200, 0.3, 9, 25): {'acc': 0.99512195121951219, 'rec': 1.0, 'prec': 0.98901098901098905, 'f1': 0.99447513812154698}
(0.001, 400, 0.1, 5, 20): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.03, 200, 0.3, 1, 20): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 50, 0.3, 7, 5): {'acc': 0.9463414634146341, 'rec': 1.0, 'prec': 0.8910891089108911, 'f1': 0.94240837696335089}
(0.03, 200, 0.3, 5, 5): {'acc': 0.99512195121951219, 'rec': 1.0, 'prec': 0.98901098901098905, 'f1': 0.99447513812154698}
(0.03, 800, 0.3, 5, 5): {'acc': 0.99024390243902438, 'rec': 0.97777777777777775, 'prec': 1.0, 'f1': 0.9887640449438202}
(0.01, 200, 0.3, 5, 15): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.1, 200, 0.9, 7, 5): {'acc': 0.82439024390243898, 'rec': 0.92222222222222228, 'prec': 0.7410714285714286, 'f1': 0.82178217821782173}
(0.0003, 100, 0.1, 5, 15): {'acc': 0.86341463414634145, 'rec': 0.71111111111111114, 'prec': 0.96969696969696972, 'f1': 0.82051282051282048}
(0.1, 50, 0.7, 9, 15): {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
(0.0003, 50, 0.3, 5, 15): {'acc': 0.67317073170731712, 'rec': 0.92222222222222228, 'prec': 0.58041958041958042, 'f1': 0.71244635193133055}
(0.003, 400, 0.5, 9, 25): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0001, 50, 0.5, 7, 20): {'acc': 0.56097560975609762, 'rec': 0.0, 'prec': 0.0, 'f1': 0.0}
(0.0001, 800, 0.5, 3, 15): {'acc': 0.92682926829268297, 'rec': 0.88888888888888884, 'prec': 0.94117647058823528, 'f1': 0.91428571428571426}
(0.003, 200, 0.5, 1, 25): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 200, 0.7, 3, 20): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0003, 800, 0.5, 7, 25): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.1, 400, 0.7, 3, 10): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0001, 400, 0.5, 1, 20): {'acc': 0.89268292682926831, 'rec': 0.83333333333333337, 'prec': 0.91463414634146345, 'f1': 0.87209302325581395}
(0.0001, 400, 0.5, 1, 15): {'acc': 0.83902439024390241, 'rec': 0.84444444444444444, 'prec': 0.80000000000000004, 'f1': 0.82162162162162167}
(3e-05, 400, 0.9, 5, 20): {'acc': 0.57560975609756093, 'rec': 0.17777777777777778, 'prec': 0.55172413793103448, 'f1': 0.26890756302521007}
(0.0001, 400, 0.9, 3, 5): {'acc': 0.60487804878048779, 'rec': 0.26666666666666666, 'prec': 0.61538461538461542, 'f1': 0.37209302325581395}
(0.0003, 200, 0.7, 3, 15): {'acc': 0.87317073170731707, 'rec': 0.87777777777777777, 'prec': 0.84042553191489366, 'f1': 0.85869565217391297}
(3e-05, 100, 0.3, 9, 10): {'acc': 0.47317073170731705, 'rec': 0.67777777777777781, 'prec': 0.43571428571428572, 'f1': 0.53043478260869559}
(0.003, 800, 0.3, 3, 15): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.003, 50, 0.7, 1, 5): {'acc': 0.83902439024390241, 'rec': 0.93333333333333335, 'prec': 0.7567567567567568, 'f1': 0.83582089552238803}
(0.01, 400, 0.7, 7, 10): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 50, 0.1, 9, 15): {'acc': 0.93170731707317078, 'rec': 0.88888888888888884, 'prec': 0.95238095238095233, 'f1': 0.91954022988505746}
