(0.001, 1000, 0.5, 3, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 500, 0.5, 5, 10, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 800, 0.3, 2, 5, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.003, 800, 0.5, 3, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0001, 500, 0.5, 2, 5, 300): {'acc': 0.78048780487804881, 'rec': 0.64444444444444449, 'prec': 0.81690140845070425, 'f1': 0.7204968944099378}
(0.003, 300, 0.5, 7, 10, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.003, 800, 0.5, 3, 10, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0001, 300, 0.3, 3, 50, 300): {'acc': 0.98048780487804876, 'rec': 0.97777777777777775, 'prec': 0.97777777777777775, 'f1': 0.97777777777777775}
(0.0003, 300, 0.75, 5, 10, 300): {'acc': 0.775609756097561, 'rec': 0.82222222222222219, 'prec': 0.71153846153846156, 'f1': 0.7628865979381444}
(0.0001, 800, 0.3, 2, 5, 300): {'acc': 0.90731707317073174, 'rec': 0.88888888888888884, 'prec': 0.898876404494382, 'f1': 0.8938547486033519}
(0.0001, 300, 0.3, 2, 10, 300): {'acc': 0.85365853658536583, 'rec': 0.80000000000000004, 'prec': 0.8571428571428571, 'f1': 0.82758620689655182}
(0.001, 800, 0.75, 5, 20, 300): {'acc': 0.99512195121951219, 'rec': 0.98888888888888893, 'prec': 1.0, 'f1': 0.99441340782122911}
(0.01, 500, 0.3, 7, 10, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 1000, 0.5, 2, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0001, 500, 0.3, 7, 10, 300): {'acc': 0.93658536585365859, 'rec': 0.93333333333333335, 'prec': 0.92307692307692313, 'f1': 0.92817679558011057}
(0.0003, 500, 0.5, 3, 5, 300): {'acc': 0.91707317073170735, 'rec': 0.93333333333333335, 'prec': 0.88421052631578945, 'f1': 0.90810810810810816}
(0.01, 300, 0.3, 5, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 800, 0.75, 3, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 1000, 0.5, 3, 5, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0003, 500, 0.3, 3, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0003, 1000, 0.5, 2, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.003, 800, 0.3, 2, 5, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0001, 800, 0.5, 5, 20, 300): {'acc': 0.97560975609756095, 'rec': 0.96666666666666667, 'prec': 0.97752808988764039, 'f1': 0.97206703910614511}
(0.003, 500, 0.5, 5, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0003, 1000, 0.5, 5, 10, 300): {'acc': 0.99512195121951219, 'rec': 0.98888888888888893, 'prec': 1.0, 'f1': 0.99441340782122911}
(0.001, 300, 0.3, 7, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.003, 1000, 0.3, 5, 10, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 500, 0.75, 5, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 300, 0.75, 5, 10, 300): {'acc': 0.93658536585365859, 'rec': 0.92222222222222228, 'prec': 0.93258426966292129, 'f1': 0.92737430167597767}
(0.01, 300, 0.5, 3, 50, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.01, 500, 0.75, 5, 5, 300): {'acc': 0.99024390243902438, 'rec': 0.98888888888888893, 'prec': 0.98888888888888893, 'f1': 0.98888888888888893}
(0.0001, 800, 0.3, 7, 5, 300): {'acc': 0.8878048780487805, 'rec': 0.78888888888888886, 'prec': 0.94666666666666666, 'f1': 0.8606060606060606}
(0.003, 500, 0.3, 5, 5, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.0003, 800, 0.75, 3, 20, 300): {'acc': 0.98048780487804876, 'rec': 0.97777777777777775, 'prec': 0.97777777777777775, 'f1': 0.97777777777777775}
(0.0001, 300, 0.3, 5, 50, 300): {'acc': 0.98536585365853657, 'rec': 0.98888888888888893, 'prec': 0.97802197802197799, 'f1': 0.98342541436464082}
(0.01, 1000, 0.3, 2, 20, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
(0.001, 1000, 0.3, 3, 5, 300): {'acc': 1.0, 'rec': 1.0, 'prec': 1.0, 'f1': 1.0}
